 Force constants in Cartesian coordinates: 
      3 -0.261524D-03 -0.108245D-01  0.834825D+00
      4 -0.114074D+00  0.110521D-02  0.548971D-03  0.647266D+00
      5  0.110482D-02 -0.478299D-01  0.338383D-01 -0.936608D-02  0.807645D-01
      6  0.151053D-03  0.872180D-02 -0.538441D+00 -0.122460D-02 -0.638368D-01
      7 -0.272152D+00  0.532244D-03  0.127809D+00  0.442548D-02  0.461667D-03
      8  0.524291D-04 -0.369108D-01  0.104037D-02  0.451747D-03  0.610388D-02
      9  0.123373D+00 -0.130022D-03 -0.131153D+00  0.297375D-01  0.358504D-03
     10 -0.271800D+00  0.728827D-02 -0.127626D+00  0.439791D-02 -0.407152D-03
     11  0.776725D-02 -0.372305D-01  0.531876D-02 -0.393651D-03  0.612232D-02
     12 -0.123232D+00  0.400200D-02 -0.131138D+00 -0.297088D-01  0.134594D-02
     13  0.430402D-02 -0.130071D-03  0.190979D-02 -0.269366D+00  0.178877D-01
     14 -0.108084D-03  0.499103D-02 -0.431049D-02  0.181414D-01 -0.336120D-01
     15 -0.297803D-01  0.215258D-02 -0.129822D-01 -0.122396D+00  0.120478D-01
     16  0.431492D-02  0.149807D-03 -0.204403D-02 -0.270511D+00 -0.100525D-01
     17  0.132008D-03  0.498328D-02 -0.425978D-02 -0.103136D-01 -0.325154D-01
     18  0.298328D-01  0.116157D-02 -0.129868D-01  0.122910D+00  0.803040D-02
     19  0.380768D-03 -0.691277D-04 -0.335577D-03 -0.213750D-02  0.371561D-03
     20 -0.720857D-04 -0.391623D-02 -0.208027D-01  0.375035D-03  0.209665D-01
     21 -0.836220D-04 -0.508343D-02 -0.812408D-02  0.133259D-03  0.821584D-02
                6             7             8             9            10 
      6  0.818646D+00
      7 -0.215123D-02  0.280451D+00
      8 -0.597165D-03 -0.506334D-03  0.231303D-01
      9 -0.129740D-01 -0.138432D+00 -0.302928D-03  0.137764D+00
     10  0.213089D-02 -0.152234D-01  0.709215D-03 -0.136183D-01  0.280090D+00
     11 -0.669292D-03 -0.848230D-04  0.370098D-02  0.766917D-04 -0.804252D-02
     12 -0.129705D-01  0.136132D-01 -0.377030D-03  0.999489D-02  0.138268D+00
     13 -0.126085D+00  0.104630D-02 -0.434377D-03 -0.215874D-03  0.150298D-02
     14  0.182587D-01 -0.168384D-03 -0.797813D-02 -0.123174D-03  0.124947D-03
     15 -0.130231D+00  0.213521D-03 -0.498024D-03  0.118136D-02  0.913479D-03
     16  0.126792D+00  0.149304D-02 -0.203720D-03 -0.883434D-03  0.105590D-02
     17  0.141189D-01  0.212974D-03  0.117289D-01  0.000000D+00 -0.129354D-03
     18 -0.130294D+00 -0.898375D-03  0.500898D-03 -0.484796D-02 -0.229351D-03
     19  0.387203D-03 -0.404031D-04 -0.689602D-04  0.386818D-04 -0.234750D-04
     20  0.240039D-01 -0.447344D-03  0.224820D-03  0.120105D-03  0.456589D-03
     21  0.626482D-02 -0.153655D-03  0.233876D-03  0.349591D-04  0.161746D-03
               11            12            13            14            15 
     11  0.234605D-01
     12 -0.493175D-02  0.137747D+00
     13  0.538230D-03  0.881300D-03  0.277805D+00
     14  0.117224D-01 -0.307556D-04 -0.192202D-01  0.291851D-01
     15  0.467199D-03 -0.484956D-02  0.137156D+00 -0.119721D-01  0.137124D+00
     16  0.138001D-03  0.212789D-03 -0.152937D-01 -0.122380D-02  0.134112D-01
     17 -0.798752D-02 -0.129220D-03  0.180541D-02  0.216192D-02 -0.179414D-02
     18 -0.492657D-03  0.118129D-02 -0.134628D-01 -0.135057D-02  0.963059D-02
     19  0.775092D-04 -0.343520D-04  0.235262D-05  0.245416D-02  0.482195D-03
     20  0.211820D-03  0.120819D-03 -0.446684D-03 -0.647037D-02 -0.403269D-03
     21  0.231043D-03  0.352775D-04 -0.183074D-03 -0.471522D-03  0.127154D-03
               16            17            18            19            20 
     16  0.279011D+00
     17  0.109571D-01  0.280328D-01
     18 -0.137657D+00 -0.745942D-02  0.137189D+00
     19 -0.694635D-04 -0.266453D-02 -0.495452D-03  0.188772D-02
